destinationInput,checkIn,checkOut,noOfAdults,noOfChildren,loadTest,loadTestErrorMessage,inputTest,inputTestErrorMessage
Casa Grande,2021-05-30,2021-06-04,8,5,true,n/a,false,"Waiting for title to contain ""Casa Grande""
Wait timed out after 5052ms"
St. Petersburg,2021-05-30,2021-06-09,3,3,true,n/a,false,"Waiting for title to contain ""St. Petersburg""
Wait timed out after 5197ms"
Nashville-Davidson,2021-05-30,2021-06-01,7,6,true,n/a,false,"Waiting for title to contain ""Nashville-Davidson""
Wait timed out after 5063ms"
Rancho Cordova,2021-05-30,2021-06-02,6,2,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,4,20,true,n/a,false,"chrome not reachable
  (Session info: chrome=91.0.4472.77)"
Gold Coast,2021-06-16,2021-06-17,4,1,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,4,2,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,4,8,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,100,20,true,n/a,false,"chrome not reachable
  (Session info: chrome=91.0.4472.77)"
Gold Coast,2021-06-16,2021-06-17,100,1,true,n/a,false,"chrome not reachable
  (Session info: chrome=91.0.4472.77)"
Gold Coast,2021-06-16,2021-06-17,100,2,true,n/a,false,"chrome not reachable
  (Session info: chrome=91.0.4472.77)"
Gold Coast,2021-06-16,2021-06-17,100,8,true,n/a,false,"chrome not reachable
  (Session info: chrome=91.0.4472.77)"
Gold Coast,2021-06-16,2021-06-17,4,20,true,n/a,false,"chrome not reachable
  (Session info: chrome=91.0.4472.77)"
Gold Coast,2021-06-16,2021-06-17,4,1,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,4,2,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,4,8,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,10,20,true,n/a,false,"chrome not reachable
  (Session info: chrome=91.0.4472.77)"
Gold Coast,2021-06-16,2021-06-17,10,1,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,10,2,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,10,8,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,4,9,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,4,1,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,4,2,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,4,8,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,10,9,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,10,1,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,10,2,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,10,8,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,4,9,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,4,1,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,4,2,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,4,8,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,10,9,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,10,1,true,n/a,true,n/a
Gold Coast,2021-06-16,2021-06-17,10,2,true,n/a,true,n/a
